,WindowSize,EmbedDimen,VocabSize,SeqLen,NegativeSample,TrainingDataSize,AccuracyTrain,LossTrain,AccuracyTest,LossTest,RunTime
0,2,16,6905,10,2,63693,0.9064293503761292,0.463233083486557,0.4341634213924408,1.1279773712158203,3
1,2,64,6905,10,2,64644,0.9952929615974426,0.11961442232131958,0.44287109375,1.218063235282898,8
2,2,128,6905,10,2,63792,0.9991828799247742,0.0533674880862236,0.4405924379825592,1.2833038568496704,13
3,2,256,6905,10,2,64559,0.9993554949760437,0.027806663885712624,0.446533203125,1.2865715026855469,25
4,2,512,6905,10,2,63008,0.9995017647743225,0.01779407449066639,0.4454752504825592,1.3022273778915405,49
5,3,16,6905,10,2,81267,0.8792937994003296,0.48271533846855164,0.44414061307907104,1.1463476419448853,4
6,3,64,6905,10,2,80733,0.9935826063156128,0.11874973028898239,0.45397135615348816,1.2695761919021606,11
7,3,128,6905,10,2,80337,0.9984091520309448,0.052762698382139206,0.4563151001930237,1.317284345626831,19
8,3,256,6905,10,2,80428,0.9988816976547241,0.027238596230745316,0.45559895038604736,1.3438465595245361,37
9,3,512,6905,10,2,80725,0.9990854263305664,0.016984647139906883,0.45885416865348816,1.3587181568145752,65
10,4,16,6905,10,2,89500,0.8687726259231567,0.4929485023021698,0.44054457545280457,1.1434558629989624,4
11,4,64,6905,10,2,89447,0.9930508136749268,0.12020222842693329,0.45886948704719543,1.2763304710388184,11
12,4,128,6905,10,2,89476,0.9983158111572266,0.05157039314508438,0.4524931013584137,1.343980073928833,17
13,4,256,6905,10,2,89132,0.9988677501678467,0.02691408060491085,0.46484375,1.3364113569259644,40
14,4,512,6905,10,2,89782,0.998828113079071,0.017367765307426453,0.46438419818878174,1.3864386081695557,71
15,5,16,6905,10,2,92945,0.8685031533241272,0.48632490634918213,0.4410807192325592,1.1605801582336426,4
16,5,64,6905,10,2,93376,0.9924723505973816,0.11998683959245682,0.4533962607383728,1.2906107902526855,12
17,5,128,6905,10,2,93491,0.9974983930587769,0.05335775390267372,0.45458984375,1.3473076820373535,20
18,5,256,6905,10,2,92146,0.998707115650177,0.0266337301582098,0.4612821638584137,1.3617372512817383,40
19,5,512,6905,10,2,94069,0.9987157583236694,0.017525944858789444,0.4667426347732544,1.3885290622711182,73
