,WindowSize,EmbedDimen,VocabSize,SeqLen,NegativeSample,TrainingDataSize,AccuracyTrain,LossTrain,AccuracyTest,LossTest,RunTime
0,2,16,6905,10,4,64033,0.7846289277076721,0.8426232933998108,0.2959798276424408,1.6255582571029663,3
1,2,64,6905,10,4,63130,0.9799505472183228,0.24866268038749695,0.3014322817325592,1.8273032903671265,7
2,2,128,6905,10,4,63086,0.9949577450752258,0.11259501427412033,0.3076985776424408,1.8642092943191528,16
3,2,256,6905,10,4,63520,0.9967315196990967,0.058936282992362976,0.3101399838924408,1.906785011291504,26
4,2,512,6905,10,4,63816,0.9973891973495483,0.03817228600382805,0.311279296875,1.9487991333007812,53
5,3,16,6905,10,4,80037,0.7574659585952759,0.8549842238426208,0.3016926944255829,1.6367943286895752,4
6,3,64,6905,10,4,80173,0.9728452563285828,0.2567545175552368,0.3104817569255829,1.840924859046936,9
7,3,128,6905,10,4,80955,0.9928540587425232,0.11382360011339188,0.3108724057674408,1.93927001953125,16
8,3,256,6905,10,4,79631,0.9952589273452759,0.05941811949014664,0.3128255307674408,1.992845892906189,36
9,3,512,6905,10,4,80268,0.9963457584381104,0.03777041286230087,0.3197265565395355,2.052161693572998,71
10,4,16,6905,10,4,89059,0.736965000629425,0.8757824897766113,0.2899816036224365,1.6547125577926636,5
11,4,64,6905,10,4,88603,0.9688349366188049,0.2634751796722412,0.3099149763584137,1.8731591701507568,11
12,4,128,6905,10,4,89190,0.991338312625885,0.11742622405290604,0.314453125,1.9658474922180176,19
13,4,256,6905,10,4,89334,0.9946218132972717,0.06153280660510063,0.3264591097831726,2.0086848735809326,42
14,4,512,6905,10,4,88322,0.9954710006713867,0.03958946466445923,0.32312729954719543,2.063382148742676,77
15,5,16,6905,10,4,92638,0.7287326455116272,0.8830088376998901,0.3034396767616272,1.6563200950622559,5
16,5,64,6905,10,4,92701,0.9682753086090088,0.2644307017326355,0.3151584267616272,1.867857813835144,10
17,5,128,6905,10,4,92337,0.9903700351715088,0.11992537975311279,0.3217231035232544,1.958120584487915,20
18,5,256,6905,10,4,92378,0.9943440556526184,0.060722071677446365,0.3268229067325592,2.023014783859253,40
19,5,512,6905,10,4,93703,0.9947693943977356,0.04200873151421547,0.3278537392616272,2.096014976501465,83
20,2,16,6905,10,8,63782,0.6372568607330322,1.3246318101882935,0.180419921875,2.223707914352417,4
21,2,64,6905,10,8,63792,0.9366828799247742,0.4665771424770355,0.196044921875,2.442498207092285,9
22,2,128,6905,10,8,63857,0.9812061786651611,0.21638232469558716,0.1982421875,2.5722334384918213,13
23,2,256,6905,10,8,63642,0.9875836968421936,0.11774025112390518,0.205322265625,2.6488037109375,32
24,2,512,6905,10,8,63291,0.9890584945678711,0.07882034033536911,0.1961262971162796,2.770385980606079,55
25,3,16,6905,10,8,81005,0.6010044813156128,1.339742660522461,0.18190103769302368,2.255781888961792,5
26,3,64,6905,10,8,80483,0.9274351000785828,0.47107601165771484,0.20240885019302368,2.496609926223755,13
27,3,128,6905,10,8,80720,0.9755704402923584,0.2217065840959549,0.20657552778720856,2.6330883502960205,19
28,3,256,6905,10,8,80448,0.9832094311714172,0.12469959259033203,0.21725259721279144,2.7587246894836426,35
29,3,512,6905,10,8,80480,0.9844695329666138,0.08926980197429657,0.20911458134651184,2.8627543449401855,69
